Country Name,"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Access to electricity (% of population) [EG.ELC.ACCS.ZS],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Out-of-pocket expenditure (% of current health expenditure) [SH.XPD.OOPC.CH.ZS],"Domestic private health expenditure per capita, PPP (current international $) [SH.XPD.PVTD.PP.CD]","Domestic general government health expenditure per capita, PPP (current international $) [SH.XPD.GHED.PP.CD]",Renewable internal freshwater resources per capita (cubic meters) [ER.H2O.INTR.PC],"Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]",Government Effectiveness: Estimate [GE.EST],Income share held by highest 10% [SI.DST.10TH.10],Prevalence of current tobacco use (% of adults) [SH.PRV.SMOK],"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]",Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST],Population density (people per sq. km of land area) [EN.POP.DNST]
Cuba,77.611,2.157740903,99.8,11.08496857,10.85016251,276.9051514,2271.802454,3368.474034,0.5,,-0.17598556,,18.7,6.01384,0.603123069,109.0240559
Curacao,,,100,,,,,,,,,,,,,354.5968468
Cyprus,81.397,5.851879339,100,6.94943047,32.12443161,1306.937344,1635.297003,634.7470289,0.1,7.15,0.98665911,25.5,35.5,8.05289,0.557369947,132.9909091
Czechia,79.22926829,9.156117906,100,7.60487127,14.09247494,500.5765022,2764.63523,1232.211412,,2.02,0.949878514,21.5,30.9,13.28805,0.943887472,138.2268103
Denmark,81.45121951,5.107386426,100,10.12139606,13.79444122,969.2707815,4980.623027,1031.916844,0.1,5.02,1.902856112,23.5,18.1,9.40172,0.995625198,145.36055
Djibouti,63.085,0.398763866,64.7,2.01711535,31.23415756,34.72003327,50.65776532,279.3311694,0.9,,-0.786942482,,,0.40234,-0.35114947,46.33278689
Dominica,73.559,2.437419499,99.9192276,5.13174009,33.85964203,233.2517246,431.8095134,2800.0224,,,-0.231091559,,,6.09709,1.06745708,95.23733333
Dominican Republic,73.577,2.368634396,99,4.23948717,27.94108391,302.5800657,490.9509568,2159.552916,1,6.18,-0.327568829,33.1,10.9,6.76339,0.005306914,228.9428373
Ecuador,77.297,2.285055011,99.09,7.81824636,30.87841606,353.8684308,573.3429118,25507.76245,0.4,3.81,-0.34275347,34.5,11.6,3.25713,-0.232956856,69.83306491
"Egypt, Arab Rep.",71.358,2.063160783,100,4.83619261,62.50626373,398.7861323,158.9528543,9.468022941,0.1,7.85,-0.216252834,27.5,24.4,0.14772,-1.11419189,106.1014325
El Salvador,72.559,1.25994054,97.36,8.502141,36.01626587,353.784291,442.9268947,2488.767506,0.5,4.17,-0.514914095,29.8,8.3,3.28108,-0.106418103,303.0992761
Equatorial Guinea,61.644,3.139988835,66.57125092,3.0297935,75.40167236,397.1627714,108.3404681,16741.4559,6.9,,-1.016508102,,,6.94451,-0.156219751,55.36652406
Eritrea,67.3,0.199267295,50.27040863,4.45916176,43.19180298,35.32937622,14.40620554,800.2702627,0.6,,-1.769787312,,7.7,1.22926,-0.698492646,28.89661565
Estonia,78.64634146,7.582120103,100,6.82277584,24.0690937,661.7832447,1924.15653,9578.731749,,4.45,1.168541312,23.3,30.5,11.26302,0.633256257,31.03854971
Eswatini,60.549,0.999903387,77.03039551,6.74539423,10.58059025,138.336421,302.904318,2257.156854,29.1,,-0.601965368,,9.3,8.09183,-0.274552852,68.00075581
Ethiopia,65.838,0.155169189,48.04761887,3.23382378,37.9252243,31.80285469,16.61974994,1069.044558,0.9,,-0.623708487,,5.2,3.36259,-1.305072784,101.1195648
Faroe Islands,82.94634146,,100,,,,,,,,,,,,,37.02077364
Fiji,67.893,1.517205337,96.09404755,3.81606841,13.19460773,144.5044936,344.8486137,31084.47246,0.2,,0.810354948,24.2,23.4,3.44896,0.777670383,50.27175698
Finland,81.98292683,7.423039601,100,9.17165565,17.42399406,913.8900396,3701.192768,19378.41997,,6.69,1.999046803,23,22.2,9.15577,0.851656735,18.16736091
France,82.82682927,4.460164948,100,11.09835148,9.458951,1354.029353,4097.990796,2967.887414,0.3,8.41,1.365859389,24.8,33.6,11.30123,0.29938224,123.0702941
French Polynesia,82.996,,100,,,,,,,,,,,,,86.34889081
Gabon,66.603,2.351763544,90.3191452,2.76836324,23.08802223,163.4293615,251.9517151,73123.37117,3.3,,-0.935714185,,,7.33414,-0.07426174,8.704098265
"Gambia, The",63.755,0.241900479,62.1,3.158566,20.21388626,21.7480814,28.24270941,1195.751257,1.8,,-0.741122901,,11.6,1.11406,0.224721387,247.9133399
Georgia,73.47,2.835791247,100,6.65744209,46.7677536,601.8938157,418.8249387,15625.66781,0.3,11.57,0.809545219,27.6,31.7,14.32856,-0.488382638,65.08556982
Germany,81.29268293,7.927187624,100,11.69622993,13.47565937,1487.870452,5027.201808,1287.714355,0.1,3.14,1.524563909,25.2,22.5,12.21997,0.574308574,237.8229543
Ghana,64.74,0.572264896,83.5,3.39142489,35.78432083,90.51028061,77.13953985,961.2245811,1.7,,-0.265315861,,3.6,4.54779,0.134411946,138.5351587
Gibraltar,82.363,,100,,,,,,,,,,,,,3268.5
Greece,81.63902439,5.595284353,100,8.20262337,33.64272308,1272.220563,1213.807047,5409.649434,0.2,17.04,0.34478572,24.9,34.5,7.11519,0.181738213,83.17751746
Greenland,72.04365854,,100,,,,,,,,0.808333099,,,,1.883893967,0.136983798
Grenada,74.863,2.820964115,92.9706955,4.93189621,54.42095566,463.3029229,327.7052235,1629.673088,,,-0.09608376,,,8.05902,0.953555167,360.9529412
Guam,77.717,,100,,,,,,,,0.265013605,,,,0.892546296,312.2666667
Guatemala,73.129,1.145372815,95.42914581,6.18663979,55.9891777,328.7956092,208.1118906,6576.718201,0.2,2.19,-0.694045961,,11,1.62539,-0.573592246,154.946118
Guinea,59.72,0.350765779,42.2,4.06729603,59.2154274,71.96463703,24.3092544,17549.93714,1.5,5.02,-0.83614707,,,0.46907,-0.843246162,52.40737018
Guinea-Bissau,60.882,0.165088606,30.93199539,8.35054398,65.14950562,112.3702417,10.52576026,8119.943749,3.3,,-1.554981351,,9.3,4.14307,-0.558011115,70.07315078
Guyana,69.124,3.500331141,91.64648438,4.93049145,34.83069611,249.4458711,391.6624954,301720.3065,1.4,13.52,-0.374773502,,12.6,5.34695,-0.246419206,4.057673355
Haiti,64.255,0.297241022,45.43953323,3.91107914,39.03829004,59.83565262,13.17211026,1165.456051,1.9,,-2.047519207,,7.9,3.45064,-0.891515017,404.9505806
Honduras,72.881,1.023855315,91.1,7.30497599,52.46878433,248.0472889,168.0868484,9103.479937,0.2,5.55,-0.588127494,34.6,,3.1686,-0.575151563,89.00553222
"Hong Kong SAR, China",85.1804878,,100,,,,,,,2.92,1.733729839,,,,-0.222177982,7150.380952
Hungary,76.3195122,4.836876267,100,6.29731894,27.80134964,668.7481384,1441.446047,614.0531592,,3.42,0.49152106,23.3,32.2,10.59925,0.772158086,107.0692636
Iceland,83.16341463,4.543450104,100,8.5256052,15.54543591,853.1188955,4105.942142,471484.8723,0.1,3.51,1.511367917,,12.6,8.07439,1.639300942,3.575949618
India,70.91,1.752534366,95.88594055,2.94352531,53.379879,131.7819196,67.20094577,1045.468442,0.2,6.51,0.160742477,28.4,28.1,4.92498,-0.770800412,465.1946394
Indonesia,70.518,2.245285771,98.85,2.90491366,34.76155853,181.3332125,175.694602,7488.235214,0.4,3.59,0.173593521,29.5,37.2,0.11037,-0.493404567,143.5846338
"Iran, Islamic Rep.",76.103,7.222980003,100,5.94786263,39.49374771,418.9996112,410.8876876,1484.447347,0.1,10.74,-0.556162298,31.7,14,0.70015,-1.706922054,53.35235871
Iraq,71.576,4.347264139,99.99102783,4.25629616,50.09696198,228.7407823,225.4235666,846.8965092,,,-1.286283374,,18.8,0.24048,-2.603781223,95.74024251
Ireland,82.70243902,7.257748757,100,6.6733737,11.82679081,1488.553177,4378.409155,9930.406093,0.2,4.95,1.285671115,25.1,21.4,11.7039,0.96638912,71.62636087
Isle of Man,80.737,,100,,,,,,,,,,,,,147.2508772
Israel,82.80487805,6.935752154,100,7.47252941,21.03798294,1050.913015,2033.03479,82.83631544,,3.73,1.319137335,,21.6,3.00583,-0.793371558,418.3918669
Italy,83.49756098,5.311030987,100,8.6563549,23.46083832,1007.082505,2828.650661,3055.46305,0.2,9.95,0.478667974,25.8,23.3,7.96607,0.40438509,201.9805456
Jamaica,71.767,2.983289697,98.93030548,6.09761,16.43945885,215.8900534,424.8206533,3846.436795,1.3,4.99,0.625826776,,9.7,3.60021,0.397309542,259.8128347
Japan,84.35634146,8.478400575,100,10.75110722,12.92639256,739.4963458,3848.559077,3395.639367,,2.35,1.579613686,,20.5,6.68016,1.031847239,347.4156379
Jordan,76.044,2.163621448,99.9,7.56996918,30.33984375,343.3829828,383.3618874,63.7461639,,16.8,0.11216253,,34.6,0.30566,-0.261968046,120.4888055
Kazakhstan,73.18,11.05087035,100,2.78745699,33.86382675,302.7814948,453.0057228,3475.809473,0.3,4.8,0.106465772,,23.5,4.52228,-0.168488264,6.85767789
Kenya,62.943,0.382362033,69.7,4.36111116,24.29976273,74.1641203,96.0262658,406.2691052,4.4,5.01,-0.439814895,,11.5,2.86537,-1.101751328,89.52357944
Kiribati,67.15,0.592397035,89.25575256,11.38678551,0.1049399,7.229975795,204.4166375,,,8.56,-0.173108116,22.9,41.7,0.75599,1.128832579,153.3839506
"Korea, Dem. People's Rep.",73.198,2.156763691,48.40988541,,,,,2601.392071,,,-1.397718191,,17.8,4.28537,-0.317571074,213.8978573
"Korea, Rep.",83.22682927,11.82528359,100,8.14101028,30.24508095,1415.639625,2082.227867,1252.781281,,3.75,1.369798899,,21.4,8.18953,0.55120641,530.3772746
Kosovo,79.022,,,,,,,,,25.07,-0.340276957,,,,-0.331690282,
Kuwait,79.685,21.13521425,100,5.35958719,10.7205658,312.6736837,2325.503823,0,,,0.014634079,,17.9,0,0.192640528,249.2199776
Kyrgyz Republic,71.6,1.551593817,99.88467407,4.49454117,46.181427,116.3311287,129.3247576,7578.761501,0.2,4.25,-0.685740709,25.8,27.6,4.95335,-0.241771638,33.66110532
Lao PDR,68.138,2.658175141,98.3973465,2.60029101,41.83228683,88.52987139,78.11530119,26400.24969,0.3,,-0.781425834,,32.5,11.52024,0.516314864,31.24806326
Latvia,75.38780488,3.954965509,100,6.62088203,35.22696686,839.0930891,1259.509185,8851.397883,0.6,6.31,1.098966122,26.6,37.2,13.09042,0.443465203,30.75549199
Lebanon,79.236,4.655297984,99.95048523,7.89909458,36.26387024,770.7149332,637.4369578,830.1759264,0.1,11.3,-0.780926526,,38.4,1.48062,-1.672520995,565.1913001
Lesotho,54.173,1.033426757,44.56339645,11.40502262,14.02660656,42.09396399,128.252377,2349.820416,22.3,16.88,-0.87486881,,24.4,4.54072,-0.421510428,73.31034256
Liberia,61.104,0.22991646,23.1,8.4314146,54.36148071,70.48271606,19.09228152,40118.03528,1.1,,-1.373896837,,8.4,3.64307,-0.331433713,51.75756852
Libya,72.463,8.325767595,68.47289276,,,,,106.5596929,0.2,,-1.751571298,,,0.0084,-2.568074226,3.733412142
Liechtenstein,84.16097561,3.872608388,100,,,,,,,,1.689490318,,,,1.615635753,240.5125
Lithuania,76.28292683,4.200151961,100,6.99864721,32.27022552,931.9306444,1755.631538,5533.014308,0.2,6.26,1.037445188,27.5,32.3,11.7853,0.779812694,44.6205206
Luxembourg,82.63902439,15.3230398,100,5.44119692,9.62097168,825.1466823,5537.322708,1612.900624,0.2,5.59,1.726294041,25.8,21.6,11.5288,1.349190593,240.827591
"Macao SAR, China",84.978,,100,,,,,,,1.75,1.163199425,,,,1.238523126,20171.82371
Madagascar,65.882,0.142653575,31.04,3.77732444,32.26590347,24.52885952,20.18722028,12239.79806,0.3,,-1.172654748,,28.4,1.02054,-0.320696473,47.32405294
Malawi,64.119,0.087118813,11.2,5.13698387,16.86334229,19.38215895,26.48282069,855.4466378,8.4,,-0.776979148,31,11.3,3.23678,-0.280175388,200.1202482
Malaysia,75.76,7.464999716,100,3.83884454,36.0626564,527.9352197,579.6489546,17680.75986,0.3,3.26,1.009139419,,22.8,0.75939,0.143876806,99.84483336
Maldives,80.116,3.963267183,100,7.66067553,17.46362114,315.1039137,1284.407621,59.46387371,,4.56,-0.149831071,23.3,25.9,1.42565,0.032002181,1681.693333
Mali,59.664,0.191438656,47.85478973,3.88156676,30.97203636,29.19186877,30.35175992,2917.234555,0.9,,-1.068999887,,8.6,4.34772,-2.201103926,16.85591916
Malta,82.85853659,3.290468236,100,9.23917389,34.13112259,1677.234205,2797.25913,100.1860882,,3.62,0.852863729,24.8,24.5,8.52383,1.02458334,1575.19375
Marshall Islands,64.746,3.405025935,96.75998688,14.82552052,1.10943425,40.81311326,326.7692767,,,6.34,-1.544889212,27.5,28.4,,0.755261958,248.4888889
Mauritania,65.687,0.872475307,44.94792938,3.34527016,45.2381897,97.81799256,71.5543331,91.24401867,0.4,10.42,-0.575070918,,11.1,0,-0.568760574,4.253273503
Mauritius,74.23585366,3.296800515,100,6.200562,45.72070313,760.0535951,678.8966888,2173.011529,1.4,6.33,0.89203757,,20.5,7.52215,0.809275508,633.9434151
Mexico,74.202,3.612165141,99.6,5.44627905,42.28219223,560.840671,542.4660486,3269.768422,0.4,3.48,-0.27937749,,13.4,5.71942,-0.836903512,64.34595077
"Micronesia, Fed. Sts.",71.077,1.330591943,80.08370209,11.2604599,2.61459732,9.578798378,103.9525985,,,,-0.089804634,,,2.12472,1.108844757,159.1128571
Moldova,70.935,3.348667379,100,6.36946964,35.69294357,317.2206922,512.8020707,608.0569802,0.8,1.5,-0.412090153,22,28.7,11.36078,-0.393239886,92.75609357
Monaco,,,100,1.53244889,7.90802622,485.2713605,2753.199997,,,,,,,,1.579369545,18270.35027
Mongolia,71.822,7.160835656,98.92325592,4.16080856,30.96385384,178.1995139,320.786572,10765.89439,0.1,9.27,-0.191707879,,29.6,7.93383,0.634378731,2.075718988
Montenegro,76.68292683,4.181644556,99.96228027,8.32983208,38.55628967,742.7210622,1153.744581,,0.1,15.13,0.138532132,,31.8,10.34273,0.067673579,46.24743494
Morocco,74.27,1.955308017,99.6,5.36818361,46.10972214,253.0856318,174.7117835,798.8010712,0.1,,-0.201040924,,14.9,0.48891,-0.339893311,81.34530137
Mozambique,61.166,0.248639659,29.68644333,7.95271826,9.52183533,16.46355009,24.65563543,3311.805497,,,-0.873896122,41.2,14.8,2.02949,-0.749242008,38.51267199
Myanmar,66.61,0.640928811,68.31150055,4.67856407,75.95468903,178.8841759,37.11032851,18906.4101,0.8,0.41,-1.169048905,,45.1,2.11591,-1.328067183,81.2627731
Namibia,63.075,1.764171657,53.27858353,8.45436001,7.93390608,423.1167157,417.1061872,2517.734497,12.4,,0.12494795,,15.5,5.92607,0.529649496,2.971788799
Nauru,63.484,4.401582591,100,12.18192387,0.79029912,48.17589509,1364.494605,824.2664029,,,-0.133010134,,49.2,2.94225,0.772843242,606.6
Nepal,69.558,0.480724943,89.9,4.44525433,57.91304016,114.9945879,45.08327035,6874.188069,0.1,,-1.052809358,,31.5,1.36347,-0.453802615,201.1335612
Netherlands,82.11219512,8.41396928,100,10.14039612,10.5655756,2046.357313,3957.09684,634.1931339,0.2,3.38,1.796130896,23.9,22.6,9.30324,0.847549617,515.1432729
New Caledonia,80.41970732,,100,,,,,,,10.88,,,,,,14.8380744
New Zealand,82.05609756,6.830053021,100,9.48335075,12.14976311,1055.772066,3261.570158,65673.20051,0.1,4.11,1.663680792,,14.2,9.88698,1.411302328,18.91003
