Country Name,"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Access to electricity (% of population) [EG.ELC.ACCS.ZS],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Out-of-pocket expenditure (% of current health expenditure) [SH.XPD.OOPC.CH.ZS],"Domestic private health expenditure per capita, PPP (current international $) [SH.XPD.PVTD.PP.CD]","Domestic general government health expenditure per capita, PPP (current international $) [SH.XPD.GHED.PP.CD]",Renewable internal freshwater resources per capita (cubic meters) [ER.H2O.INTR.PC],"Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]",Government Effectiveness: Estimate [GE.EST],Income share held by highest 10% [SI.DST.10TH.10],Prevalence of current tobacco use (% of adults) [SH.PRV.SMOK],"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]",Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST],Population density (people per sq. km of land area) [EN.POP.DNST]
Solomon Islands,70.382,0.451560238,69.39516449,4.46258593,3.67973828,4.519528377,92.50266567,66222.90898,,,-0.989601076,,36.8,1.61601,0.508222222,24.11550554
Somalia,57.078,0.041029203,49.2,,,,,375.4387941,0.1,18.83,-2.250986576,,,0,-2.386645317,25.47470271
South Africa,66.175,7.688907623,85,8.24258327,5.71879625,480.0787486,693.9631216,771.2561775,18.6,25.54,0.162542775,,20.4,8.76621,-0.267670423,47.88354945
South Sudan,55.912,0.174641877,6.773965836,4.65760946,22.64990425,14.38887553,8.460334895,2488.594103,2,,-2.379828691,,,,-2.511948347,16.53294827
Spain,83.83170732,5.131798801,100,9.13947964,21.76320267,1124.586814,2702.189597,2359.189234,0.3,14.1,0.995634913,24.9,28.1,10.91336,0.310685813,94.3508089
Sri Lanka,76.008,1.074526441,99.76135254,3.66153812,51.07418823,288.9756031,205.7506101,2421.685089,0.1,4.67,-0.095113307,30.8,22.3,2.82954,-0.217622802,352.4316946
St. Kitts and Nevis,71.572,5.187374245,100,4.93305063,46.36796951,826.4086082,802.1589826,503.0181087,,,0.537684321,,,6.34118,0.723924637,183.5076923
St. Lucia,73.445,2.993566017,100,4.33346367,46.23881149,362.2713779,333.5637303,1679.891143,,15.34,0.310075104,,,9.47123,0.913268566,292.7590164
St. Martin (French part),79.983,,100,,,,,,,,,,,,,662.42
St. Vincent and the Grenadines,72.835,2.240669437,100,4.32406807,29.03186607,209.715359,434.5564651,953.0707941,,,0.310075104,,,7.15801,0.953555167,269.0358974
Sudan,65.876,0.511922937,57.57051849,4.63369366,66.50894389,144.6810215,44.79916286,92.52385722,0.2,,-1.638879299,,,0.00506,-1.701786637,23.14351874
Suriname,72.242,4.42581305,97.93016052,8.43241405,15.37580109,430.4238353,1180.191919,164917.2665,1.3,,-0.592646241,,,6.63315,0.101494126,3.848083333
Sweden,83.1097561,3.401593966,100,10.83224297,13.71330547,883.9871022,5058.441256,16636.0424,,6.83,1.70230341,22.7,24.8,9.29617,1.039472699,25.23766548
Switzerland,83.90487805,4.358609865,100,11.28695965,25.29318237,5539.665532,2620.038646,4711.216427,0.2,4.39,1.944320321,,25.7,10.39688,1.32495296,217.0427817
Syrian Arab Republic,71.822,1.335459488,89.23056793,,,,,354.8567485,0.1,,-1.711564183,,,0.19829,-2.72988081,109.4497141
Tajikistan,70.867,0.960233171,99.4458847,6.9476676,71.2230072,184.7638901,70.72039892,6796.613432,0.2,,-1.064220309,,,0.86628,-0.520874679,67.27432092
Tanzania,66.989,0.249877327,37.7,3.87440205,21.91386986,22.96053312,40.91174774,1402.979484,4.8,,-0.832263291,,9.2,10.35652,-0.373524189,67.59153195
Thailand,78.975,3.849043757,99.9,3.8583262,8.51409531,200.8440414,522.8692726,3148.465056,1.2,0.72,0.303793728,27.2,22.5,7.84894,-0.483683407,139.5755701
Timor-Leste,68.268,0.482334951,90.63248444,5.95605564,10.48759174,19.84111316,109.1145408,6415.773353,0.2,,-0.880101264,,39.8,0.40188,0.233639792,86.10880968
Togo,60.901,0.296284381,52.46191788,5.64253759,67.19138336,92.31846309,18.72165709,1395.107226,2,,-0.936474919,,7.1,1.42014,-0.919564307,151.5553227
Tonga,70.871,1.538813351,98.4,4.74669981,5.39891624,29.59465397,191.4292507,,,,0.223588839,,31.1,0.37713,1.03230691,145.7652778
Trinidad and Tobago,74.228,11.31303229,100,6.82082558,46.91285706,935.8539229,797.4592504,2526.390584,1.1,3.52,0.119822189,,,6.06472,0.100833662,296.2875244
Tunisia,75.993,2.576495226,100,5.47337294,42.90058517,303.570577,325.4112188,348.1526002,0.1,17.15,-0.003826548,,25,2.01463,-0.869923055,77.55737642
Turkiye,77.832,4.776771154,100,4.35956669,17.04763412,261.209944,909.3646917,2719.159331,,13.67,0.019244969,31.6,30.9,1.82036,-1.371727586,108.4698933
Turkmenistan,69.002,10.26753615,99.9,5.68183947,77.00280762,769.6887373,166.4671733,228.1429328,,,-0.966852665,,5.8,2.92752,-0.185278386,13.10497308
Turks and Caicos Islands,75.326,,100,,,,,,,,,,,,,45.34736842
Tuvalu,64.278,0.81234027,99.7,20.88978577,0.32330775,27.69759391,850.4253541,,,,-0.619882762,,36,1.24819,1.19691658,365.2
Uganda,62.991,0.138373162,41.3,3.79804969,38.26028442,40.44194483,14.26276002,908.0520467,5.5,,-0.621487856,34.5,8.9,12.2144,-0.691217363,214.1885099
Ukraine,71.82731707,3.933652536,100,7.09389353,51.11891937,490.785933,403.1273932,1241.37674,0.9,8.19,-0.30889526,22.3,26.2,8.69842,-1.423575878,76.60718502
United Arab Emirates,79.726,20.15334483,100,4.29904938,12.55036926,1552.941708,1691.431312,16.2837153,,2.33,1.370600343,,,2.36873,0.685608506,129.7051112
United Kingdom,81.40487805,5.175842473,100,9.87480068,16.38647461,959.6124977,3896.218431,2169.478882,,3.74,1.476235986,25.1,16.1,10.8168,0.53973186,276.2630802
United States,78.78780488,14.67338071,100,16.67647362,11.32606125,5165.8608,5495.167388,8582.829481,0.4,3.67,1.482331276,30.8,23.4,9.56731,0.134975299,35.89317567
Uruguay,77.508,1.985381557,99.9,9.39027691,15.46145821,760.2428747,1515.971003,26892.94072,0.5,8.73,0.671302378,29.7,22,5.45265,1.038879156,19.58866987
Uzbekistan,71.344,3.504662697,99.99899292,5.43133879,57.68497086,247.2101256,176.1573676,486.5940945,0.2,8.98,-0.523717761,,17.8,2.60223,-0.284819692,76.22283256
Vanuatu,69.877,0.548284517,64.50218201,3.31453276,8.07740307,11.82128258,61.47879336,32851.07949,,5.44,-0.530147731,24.7,18.2,1.87288,1.021924138,24.97161608
"Venezuela, RB",72.161,3.71059907,99.84477997,2.18563724,34.12151718,294.358362,174.2380739,27785.75204,0.5,,-1.694786787,,,3.01625,-1.536777735,32.84585114
Vietnam,74.093,3.567848369,99.4,5.03395176,45.11717224,313.0228713,217.7252539,3752.686613,0.3,1.68,0.043867677,,25,9.33984,0.025495587,305.5770717
Virgin Islands (U.S.),79.66829268,,100,,,,,,,,0.810354948,,,,1.065073848,304.7685714
West Bank and Gaza,75.241,,100,,,,,173.307784,,25.34,-0.746353567,,,,-1.89528954,778.2900332
"Yemen, Rep.",65.092,0.354864477,72.77657318,,,,,66.56799599,0.1,,-2.315260887,,20.5,0.02778,-2.770830393,59.75091577
Zambia,62.793,0.414336364,43,5.31950092,10.21756363,30.27567907,75.09756475,4363.325283,11.6,5.54,-0.717326403,,14.6,3.85176,-0.113846861,24.72521422
Zimbabwe,61.292,0.663338328,46.68209457,3.65976548,9.08337116,31.43189022,18.83999463,798.4573751,12.5,7.37,-1.267287731,,12.1,3.62809,-0.959749401,39.69137392
